repo_id,actor_id,Core_Contributors
9384988,3640724,1
9399334,12637,3
9436196,1297923,1
9447707,30968,1
9457897,926454,7
9512747,1060921,1
9584741,363764,1
9585555,430345,1
9603429,1221423,2
9614450,142914,1
9693534,525838,1
9736099,484075,2
9749290,976922,1
9759448,1341245,1
9801943,111138,1
9974276,1908830,2
10005030,193937,1
10020253,310709,1
10021385,2287209,1
10033802,1944053,1
10038467,367618,3
10039899,367618,2
10040198,367618,7
10040379,9373002,1
10052229,7376266,1
10095561,4444926,1
10126031,888940,1
10218080,1620614,1
10257627,1198183,2
10314483,4447136,1
10317502,743306,1
10349104,2793688,1
10415898,2180540,2
10415964,4583857,1
10416648,480938,1
10435975,129196,4
10442886,9798612,1
10442936,9798612,1
10442970,9798612,1
10442975,9798612,1
10442976,9798612,1
10442977,9798612,1
10446270,1317792,1
10446275,1317792,2
10467655,44939,3
10489159,15566,1
10490362,1593287,1
10491111,4551878,1
10534723,3580589,1
10589177,4656219,1
10591288,2626481,1
10592993,2285387,1
10594039,1872498,1
10608253,3904767,1
10611388,15566,2
10653604,1396878,1
10670501,1736496,1
10672637,416575,1
10727057,310709,1
10794423,27622,1
10838237,167995,1
10866521,726536,2
10958379,809314,1
10961863,1503976,1
10987603,2696019,1
11035035,4761614,1
11099534,2539292,2
11112364,3039119,1
11134801,1106706,1
11155663,2784192,1
11164718,4829,1
11317725,1310570,1
11436474,4036492,2
11515805,2293544,1
11516694,54995,1
11542384,5051717,1
11549335,1517008,1
11549335,1865016,1
11616657,4758600,1
11671912,1235441,3
11672686,367618,1
11673915,367618,2
11728942,3960243,1
11771697,3650755,1
11802466,2725611,1
11877133,3960243,1
11877982,3931155,2
11879934,1799239,2
11967309,4249557,1
12040130,4970,1
12093443,1411723,1
12146969,4088016,3
12306307,2725611,1
12340319,88622,1
12385273,5314189,1
12411764,1098900,2
12428376,3939417,1
12435095,2790604,1
12544475,8289,1
12551129,682819,3
12634704,254985,1
12679353,2909926,1
12700499,5422863,1
12711013,577668,1
12741028,2725611,2
12745236,5432054,4
12798028,1305774,2
12840543,1924215,1
12899667,1030961,1
12979789,671977,2
12983585,613568,2
12997400,115089,1
12997686,5523239,1
13015955,1924215,1
13027297,5514882,1
13102076,986997,1
13174854,551491,1
13186315,446833,4
13222817,6294337,2
13315305,5281068,1
13319158,1276678,1
13352640,3301915,1
13360824,380744,1
13431919,2101211,1
13433480,5975010,1
13499745,3759320,2
13509108,132412,3
