10608253,1,Core contributor is belonged to small group
10611388,2,Core contributor is belonged to small group
10653604,1,Core contributor is belonged to small group
10670501,1,Core contributor is belonged to small group
10672637,1,Core contributor is belonged to small group
10727057,1,Core contributor is belonged to small group
10794423,1,Core contributor is belonged to small group
10838237,1,Core contributor is belonged to small group
10866521,2,Core contributor is belonged to small group
10958379,1,Core contributor is belonged to small group
10961863,1,Core contributor is belonged to small group
10987603,1,Core contributor is belonged to small group
11035035,1,Core contributor is belonged to small group
11099534,2,Core contributor is belonged to small group
11112364,1,Core contributor is belonged to small group
11134801,1,Core contributor is belonged to small group
11155663,1,Core contributor is belonged to small group
11164718,1,Core contributor is belonged to small group
11317725,1,Core contributor is belonged to small group
11436474,2,Core contributor is belonged to small group
11515805,1,Core contributor is belonged to small group
11516694,1,Core contributor is belonged to small group
11542384,1,Core contributor is belonged to small group
11549335,2,Core contributor is belonged to small group
11616657,1,Core contributor is belonged to small group
11671912,3,Core contributor is belonged to small group
11672686,1,Core contributor is belonged to small group
11673915,2,Core contributor is belonged to small group
11728942,1,Core contributor is belonged to small group
11771697,1,Core contributor is belonged to small group
11802466,1,Core contributor is belonged to small group
11877133,1,Core contributor is belonged to small group
11877982,2,Core contributor is belonged to small group
11879934,2,Core contributor is belonged to small group
11967309,1,Core contributor is belonged to small group
12040130,1,Core contributor is belonged to small group
12093443,1,Core contributor is belonged to small group
12146969,3,Core contributor is belonged to small group
12306307,1,Core contributor is belonged to small group
12340319,1,Core contributor is belonged to small group
12385273,1,Core contributor is belonged to small group
12411764,2,Core contributor is belonged to small group
12428376,1,Core contributor is belonged to small group
12435095,1,Core contributor is belonged to small group
12544475,1,Core contributor is belonged to small group
12551129,3,Core contributor is belonged to small group
12634704,1,Core contributor is belonged to small group
12679353,1,Core contributor is belonged to small group
12700499,1,Core contributor is belonged to small group
12711013,1,Core contributor is belonged to small group
12741028,2,Core contributor is belonged to small group
12745236,4,Core contributor is belonged to small group
12798028,2,Core contributor is belonged to small group
12840543,1,Core contributor is belonged to small group
12899667,1,Core contributor is belonged to small group
12979789,2,Core contributor is belonged to small group
12983585,2,Core contributor is belonged to small group
12997400,1,Core contributor is belonged to small group
12997686,1,Core contributor is belonged to small group
13015955,1,Core contributor is belonged to small group
13027297,1,Core contributor is belonged to small group
13102076,1,Core contributor is belonged to small group
13174854,1,Core contributor is belonged to small group
13186315,4,Core contributor is belonged to small group
13222817,2,Core contributor is belonged to small group
13315305,1,Core contributor is belonged to small group
13319158,1,Core contributor is belonged to small group
13352640,1,Core contributor is belonged to small group
13360824,1,Core contributor is belonged to small group
13431919,1,Core contributor is belonged to small group
13433480,1,Core contributor is belonged to small group
13499745,2,Core contributor is belonged to small group
13509108,3,Core contributor is belonged to small group
13516504,1,Core contributor is belonged to small group
13544898,5,Core contributor is belonged to small group
13573866,1,Core contributor is belonged to small group
13655949,1,Core contributor is belonged to small group
13662106,1,Core contributor is belonged to small group
13666531,1,Core contributor is belonged to small group
13668558,1,Core contributor is belonged to small group
13674303,1,Core contributor is belonged to small group
13690115,1,Core contributor is belonged to small group
13793762,1,Core contributor is belonged to small group
13794677,1,Core contributor is belonged to small group
13817352,1,Core contributor is belonged to small group
13818463,1,Core contributor is belonged to small group
13845370,1,Core contributor is belonged to small group
